year,iso3_o,iso3_d,M,X,peso_comercio_total,balanza_comercial,norm_ln_peso_comercio_total,CDT_vigente,norm_ln_dist,contig,comlang_off,comrelig,fta_wto,norm_ln_pib_per_capita_dolares_constantes_o,norm_ln_pib_per_capita_dolares_constantes_d,norm_entry_cost_o,norm_entry_cost_d
2008,ABW,ARE,2077.0,0.0,2077.0,-2077.0,-2.762672624985652,0.0,0.8162390145235412,0.0,0.0,0.004,0.0,0.5770475451604643,1.0400196812846805,,-0.20488708522844
2004,ABW,ARG,1950.0,0.0,1950.0,-1950.0,-2.779569622722409,0.0,-0.1267242334798397,0.0,1.0,0.79,0.0,0.579710610424746,-0.30072995303418804,,-0.1278616066143071
2007,ABW,ARG,40288.0,0.0,40288.0,-40288.0,-1.9686058514099067,0.0,-0.1267242334798397,0.0,1.0,0.79,0.0,0.56760512922003,-0.11059672224514783,,-0.2595503281158892
2008,ABW,ARG,97.0,0.0,97.0,-97.0,-3.583208852140497,0.0,-0.1267242334798397,0.0,1.0,0.79,0.0,0.5770475451604643,-0.084743035931724,,-0.27445848526701166
2009,ABW,ARG,374592.0,17.0,374609.0,-374575.0,-1.3714536947072526,0.0,-0.1267242334798397,0.0,1.0,0.79,0.0,0.45996442916196334,-0.14719831891448681,,-0.15270853519951127
2010,ABW,ARG,311356.0,0.0,311356.0,-311356.0,-1.420982521062131,0.0,-0.1267242334798397,0.0,1.0,0.79,0.0,0.4331299578663148,-0.07228882577620585,,-0.07816774944389876
2011,ABW,ARG,382463.0,0.0,382463.0,-382463.0,-1.365897049034503,0.0,-0.1267242334798397,0.0,1.0,0.79,0.0,0.45616914131117103,-0.030720927496196416,,-0.14525445662395
2012,ABW,ARG,363573.0,0.0,363573.0,-363573.0,-1.3794616937217137,0.0,-0.1267242334798397,0.0,1.0,0.79,0.0,0.43367527529726285,-0.04868284957553626,,-0.18997892807731753
2008,ABW,AUS,810.0,0.0,810.0,-810.0,-3.0148469607616106,0.0,1.0076627645612188,0.0,0.0,0.273,0.0,0.5770475451604643,1.1359976165147372,,-0.473233913948645
2004,ABW,BEL,6547.0,612341.0,618888.0,605794.0,-1.237006099992139,0.0,0.28668185998744034,0.0,1.0,0.774,1.0,0.579710610424746,0.8371320102455031,,-0.21234116380400125
2005,ABW,BEL,0.0,122883.0,122883.0,122883.0,-1.6699589538067001,0.0,0.28668185998744034,0.0,1.0,0.774,1.0,0.5531168244910425,0.8523530857849873,,-0.2173105495210421
2006,ABW,BEL,1711.0,0.0,1711.0,-1711.0,-2.8145850708354194,0.0,0.28668185998744034,0.0,1.0,0.774,1.0,0.5470774133441006,0.86858254735542,,-0.3489992710226242
2007,ABW,BEL,5875.0,0.0,5875.0,-5875.0,-2.4842173127576133,0.0,0.28668185998744034,0.0,1.0,0.774,1.0,0.56760512922003,0.8936722610063943,,-0.35396865673966504
2008,ABW,BEL,2217.0,266581.0,268798.0,264364.0,-1.4603431614049958,0.0,0.28668185998744034,0.0,1.0,0.774,1.0,0.5770475451604643,0.8906713122868551,,-0.3564533495981854
2009,ABW,BEL,244737.0,6391.0,251128.0,-238346.0,-1.478552983996483,0.0,0.28668185998744034,0.0,1.0,0.774,1.0,0.45996442916196334,0.8668651255031976,,-0.35396865673966504
2010,ABW,BEL,264059.0,18814.0,282873.0,-245245.0,-1.4466751315614754,0.0,0.28668185998744034,0.0,1.0,0.774,1.0,0.4331299578663148,0.8822209877419172,,-0.3514839638811446
2011,ABW,BEL,262578.0,118115.0,380693.0,-144463.0,-1.3671392850971174,0.0,0.28668185998744034,0.0,1.0,0.774,1.0,0.45616914131117103,0.887556588921923,,-0.3564533495981854
2012,ABW,BEL,242730.0,1418.0,244148.0,-241312.0,-1.486101825467677,0.0,0.28668185998744034,0.0,1.0,0.774,1.0,0.43367527529726285,0.8840277413311728,,-0.3614227353152263
2013,ABW,BEL,91110.0,101.0,91211.0,-91009.0,-1.7497791888480718,0.0,0.28668185998744034,0.0,1.0,0.774,1.0,0.47606140050338513,0.882577177663717,,-0.3614227353152263
2015,ABW,BEL,48794.0,0.0,48794.0,-48794.0,-1.9173074357102124,0.0,0.28668185998744034,0.0,1.0,0.774,1.0,0.5017609609601553,0.9016797476785308,,-0.3688768138907875
2016,ABW,BEL,47894.38,0.0,47894.38,-47894.38,-1.9222910079935867,0.0,0.28668185998744034,0.0,1.0,0.774,1.0,0.5059522336350354,0.9076118859362796,,-0.3688768138907875
2009,ABW,BHS,60301.0,0.0,60301.0,-60301.0,-1.8606027356403347,0.0,-1.4488304275054362,0.0,0.0,0.257,0.0,0.45996442916196334,0.6482288273090256,,-0.28191256384257296
2011,ABW,BHS,346.0,135.0,481.0,-211.0,-3.1544163908265386,0.0,-1.4488304275054362,0.0,0.0,0.257,0.0,0.45616914131117103,0.645696507866568,,-0.2297340138136442
2012,ABW,BHS,866.0,12070.0,12936.0,11204.0,-2.2728392302307054,0.0,-1.4488304275054362,0.0,0.0,0.257,0.0,0.43367527529726285,0.6755237688728241,,-0.2371880923892054
2013,ABW,BHS,5124413.0,0.0,5124413.0,-5124413.0,-0.670914184006763,0.0,-1.4488304275054362,0.0,0.0,0.257,0.0,0.47606140050338513,0.6421306429662329,,-0.234703399530685
2004,ABW,BOL,2570.0,0.0,2570.0,-2570.0,-2.7056358450783726,0.0,-0.6808708393517225,0.0,1.0,0.797,0.0,0.579710610424746,-1.6879158871239772,,3.8327388098672373
2006,ABW,BOL,516.0,0.0,516.0,-516.0,-3.1356061308527923,0.0,-0.6808708393517225,0.0,1.0,0.797,0.0,0.5470774133441006,-1.6388836063400756,,3.1221166523303983
2008,ABW,BOL,2680.0,39.0,2719.0,-2641.0,-2.690543002462726,0.0,-0.6808708393517225,0.0,1.0,0.797,0.0,0.5770475451604643,-1.5775546942125263,,2.1754486732341194
2004,ABW,BRA,257196.0,5525.0,262721.0,-251671.0,-1.4664671275075258,0.0,-0.2613787540636165,0.0,0.0,0.758,0.0,0.579710610424746,-0.6061470759822768,,-0.2024023923699196
2005,ABW,BRA,51302.0,0.0,51302.0,-51302.0,-1.9038845736129437,0.0,-0.2613787540636165,0.0,0.0,0.758,0.0,0.5531168244910425,-0.5882144538964218,,-0.24215747810624627
2006,ABW,BRA,298705.0,157.0,298862.0,-298548.0,-1.431950348182705,0.0,-0.2613787540636165,0.0,0.0,0.758,0.0,0.5470774133441006,-0.5635558736293288,,-0.24712686382328708
2007,ABW,BRA,499592.0,0.0,499592.0,-499592.0,-1.2943511732751047,0.0,-0.2613787540636165,0.0,0.0,0.758,0.0,0.56760512922003,-0.5209889780687614,,-0.234703399530685
2008,ABW,BRA,590758.0,0.0,590758.0,-590758.0,-1.2494636647650903,0.0,-0.2613787540636165,0.0,0.0,0.758,0.0,0.5770475451604643,-0.48600771970217543,,-0.2893666424181342
2009,ABW,BRA,785120.0,485.0,785605.0,-784635.0,-1.1731274008633692,0.0,-0.2613787540636165,0.0,0.0,0.758,0.0,0.45996442916196334,-0.49491742681053286,,-0.3216676495788996
2010,ABW,BRA,555523.0,0.0,555523.0,-555523.0,-1.2659325207166117,0.0,-0.2613787540636165,0.0,0.0,0.758,0.0,0.4331299578663148,-0.43894467790336755,,-0.3117288781448179
2011,ABW,BRA,492098.0,40.0,492138.0,-492058.0,-1.2983769299958856,0.0,-0.2613787540636165,0.0,0.0,0.758,0.0,0.45616914131117103,-0.4120490465056489,,-0.35893804245670585
2012,ABW,BRA,853611.0,208.0,853819.0,-853403.0,-1.150828859547438,0.0,-0.2613787540636165,0.0,0.0,0.758,0.0,0.43367527529726285,-0.4025302619664868,,-0.37384619960782833
2014,ABW,BRA,1529010.0,0.0,1529010.0,-1529010.0,-0.9947924226169091,0.0,-0.2613787540636165,0.0,0.0,0.758,0.0,0.47919506017665314,-0.38642576587431426,,-0.3564533495981854
2015,ABW,BRA,1491657.0,0.0,1491657.0,-1491657.0,-1.0014159324518102,0.0,-0.2613787540636165,0.0,0.0,0.758,0.0,0.5017609609601553,-0.42481882274550276,,-0.37384619960782833
2016,ABW,BRA,1628784.1900000002,0.0,1628784.1900000002,-1628784.1900000002,-0.9778637703572512,0.0,-0.2613787540636165,0.0,0.0,0.758,0.0,0.5059522336350354,-0.46051569907849355,,-0.3639074281737467
2017,ABW,BRA,3138272.525,0.0,3138272.525,-3138272.525,-0.8022290286368321,0.0,-0.2613787540636165,0.0,0.0,0.758,0.0,0.5365852615264369,-0.45540506458351865,,-0.37384619960782833
2018,ABW,BRA,2133331.216,0.0,2133331.216,-2133331.216,-0.9055972348186055,0.0,-0.2613787540636165,0.0,0.0,0.758,0.0,0.5634324506235997,-0.4459460204582573,,-0.3763308924663488
2019,ABW,BRA,2064207.755,0.0,2064207.755,-2064207.755,-0.9144181452294078,0.0,-0.2613787540636165,0.0,0.0,0.758,0.0,0.5719002840101779,-0.4410495699844747,,-0.38875435675895087
2020,ABW,BRA,2921401.582,0.0,2921401.582,-2921401.582,-0.8214060449657936,0.0,-0.2613787540636165,0.0,0.0,0.758,0.0,0.332804792882447,-0.4751612129049161,,-0.38875435675895087
2021,ABW,BRA,3178884.87,0.0,3178884.87,-3178884.87,-0.7987856422096208,0.0,-0.2613787540636165,0.0,0.0,0.758,0.0,0.46299093007947806,-0.43829071301378614,,-0.38875435675895087
2022,ABW,BRA,1679068.691,0.0,1679068.691,-1679068.691,-0.9697211380050725,0.0,-0.2613787540636165,0.0,0.0,0.758,0.0,0.5566010588712038,-0.41550972000930114,,-0.38875435675895087
2023,ABW,BRA,1776346.344,0.0,1776346.344,-1776346.344,-0.9546387173721795,0.0,-0.2613787540636165,0.0,0.0,0.758,0.0,0.6225672141784655,-0.3911379475267514,,-0.38875435675895087
2004,ABW,CAN,59090.0,0.0,59090.0,-59090.0,-1.866035624974138,0.0,-0.5675105967646469,0.0,0.0,0.424,0.0,0.579710610424746,0.8847732010159508,,-0.4707492210901247
2005,ABW,CAN,415.0,0.0,415.0,-415.0,-3.1939409167289075,0.0,-0.5675105967646469,0.0,0.0,0.424,0.0,0.5531168244910425,0.9040741590324383,,-0.4707492210901247
2006,ABW,CAN,12102.0,0.0,12102.0,-12102.0,-2.2906864479729525,0.0,-0.5675105967646469,0.0,0.0,0.424,0.0,0.5470774133441006,0.9179437701406423,,-0.473233913948645
2007,ABW,CAN,26445.0,0.0,26445.0,-26445.0,-2.081346788278598,0.0,-0.5675105967646469,0.0,0.0,0.424,0.0,0.56760512922003,0.9271761840031755,,-0.473233913948645
2008,ABW,CAN,20962.0,0.0,20962.0,-20962.0,-2.1435720867521146,0.0,-0.5675105967646469,0.0,0.0,0.424,0.0,0.5770475451604643,0.9263616698306607,,-0.48317268538272673
2009,ABW,CAN,1095643.0,3107.0,1098750.0,-1092536.0,-1.0832867879792045,0.0,-0.5675105967646469,0.0,0.0,0.424,0.0,0.45996442916196334,0.8905742804854249,,-0.48317268538272673
2010,ABW,CAN,1336530.0,0.0,1336530.0,-1336530.0,-1.030823478467865,0.0,-0.5675105967646469,0.0,0.0,0.424,0.0,0.4331299578663148,0.9074308225657184,,-0.48317268538272673
2011,ABW,CAN,1452379.0,269.0,1452648.0,-1452110.0,-1.0085125409148186,0.0,-0.5675105967646469,0.0,0.0,0.424,0.0,0.45616914131117103,0.9258654495427684,,-0.48317268538272673
2012,ABW,CAN,1195841.0,511.0,1196352.0,-1195330.0,-1.0604958527988688,0.0,-0.5675105967646469,0.0,0.0,0.424,0.0,0.43367527529726285,0.9315930087741822,,-0.48317268538272673
2004,ABW,CHE,141469.0,0.0,141469.0,-141469.0,-1.6322396316445518,0.0,0.3262463270379512,0.0,0.0,0.489,0.0,0.579710610424746,1.4273984896932674,,-0.27197379240849123
2005,ABW,CHE,227.0,0.0,227.0,-227.0,-3.355513347247751,0.0,0.3262463270379512,0.0,0.0,0.489,0.0,0.5531168244910425,1.4454701911325107,,-0.26948909954997086
2006,ABW,CHE,1625.0,0.0,1625.0,-1625.0,-2.8283956551955005,0.0,0.3262463270379512,0.0,0.0,0.489,0.0,0.5470774133441006,1.4748221338783207,,-0.43099413535379794
2007,ABW,CHE,6180.0,0.0,6180.0,-6180.0,-2.470663273823716,0.0,0.3262463270379512,0.0,0.0,0.489,0.0,0.56760512922003,1.5005340082795553,,-0.4334788282123184
2008,ABW,CHE,64037.0,0.0,64037.0,-64037.0,-1.8445045418863928,0.0,0.3262463270379512,0.0,0.0,0.489,0.0,0.5770475451604643,1.5136053297788312,,-0.4334788282123184
2009,ABW,CHE,91531.0,262.0,91793.0,-91269.0,-1.7480758255821034,0.0,0.3262463270379512,0.0,0.0,0.489,0.0,0.45996442916196334,1.4824359380780356,,-0.43596352107083874
2010,ABW,CHE,138255.0,0.0,138255.0,-138255.0,-1.638393931689402,0.0,0.3262463270379512,0.0,0.0,0.489,0.0,0.4331299578663148,1.5011912592374945,,-0.4334788282123184
2011,ABW,CHE,187959.0,426043.0,614002.0,238084.0,-1.239128732529023,0.0,0.3262463270379512,0.0,0.0,0.489,0.0,0.45616914131117103,1.507165715823292,,-0.4334788282123184
2012,ABW,CHE,405061.0,0.0,405061.0,-405061.0,-1.3505236868294181,0.0,0.3262463270379512,0.0,0.0,0.489,0.0,0.43367527529726285,1.508129804332594,,-0.43596352107083874
2013,ABW,CHE,309485.0,0.0,309485.0,-309485.0,-1.4225966496273652,0.0,0.3262463270379512,0.0,0.0,0.489,0.0,0.47606140050338513,1.5135932061263435,,-0.43596352107083874
2014,ABW,CHE,261464.0,0.0,261464.0,-261464.0,-1.467751511640827,0.0,0.3262463270379512,0.0,0.0,0.489,0.0,0.47919506017665314,1.523209998256098,,-0.43596352107083874
2015,ABW,CHE,84830.0,0.0,84830.0,-84830.0,-1.769201845724292,0.0,0.3262463270379512,0.0,0.0,0.489,0.0,0.5017609609601553,1.5275091741144444,,-0.43596352107083874
2017,ABW,CHE,454748.588,0.0,454748.588,-454748.588,-1.3195371388884443,0.0,0.3262463270379512,0.0,0.0,0.489,0.0,0.5365852615264369,1.539510556569416,,-0.43596352107083874
2018,ABW,CHE,164174.296,0.0,164174.296,-164174.296,-1.5923778677414195,0.0,0.3262463270379512,0.0,0.0,0.489,0.0,0.5634324506235997,1.5576842397725066,,-0.43596352107083874
2019,ABW,CHE,235139.658,0.0,235139.658,-235139.658,-1.4961698248109654,0.0,0.3262463270379512,0.0,0.0,0.489,0.0,0.5719002840101779,1.5613666346578994,,-0.43596352107083874
2020,ABW,CHE,455112.834,0.0,455112.834,-455112.834,-1.3193227200328168,0.0,0.3262463270379512,0.0,0.0,0.489,0.0,0.332804792882447,1.5361105600357248,,-0.43596352107083874
2021,ABW,CHE,399746.921,0.0,399746.921,-399746.921,-1.3540602831173174,0.0,0.3262463270379512,0.0,0.0,0.489,0.0,0.46299093007947806,1.5766247827545583,,-0.43596352107083874
2008,ABW,CHL,0.0,45.0,45.0,45.0,-3.7888935836183535,0.0,-0.18285906975742922,0.0,1.0,0.708,0.0,0.5770475451604643,-0.21580144851971095,,-0.3067594924277771
