cmdCode,cmdDesc,cifvalue,part_cifvalue,part_acum
2710,"Petroleum oils and oils from bituminous minerals, not crude; preparations n.e.c, containing by weight 70% or more of petroleum oils or oils from bituminous minerals; these being the basic constituents of the preparations; waste oils",18467079411.72,0.07205755475717064,0.07205755475717064
8703,"Motor cars and other motor vehicles; principally designed for the transport of persons (other than those of heading no. 8702), including station wagons and racing cars",10559359789.72,0.04120205633412323,0.11325961109129387
3004,"Medicaments; (not goods of heading no. 3002, 3005 or 3006) consisting of mixed or unmixed products for therapeutic or prophylactic use, put up in measured doses (incl. those in the form of transdermal admin. systems) or packed for retail sale",8259012334.03,0.03222622376994941,0.14548583486124328
8517,"Telephone sets, including smartphones and other telephones for cellular/wireless networks; other apparatus for the transmission or reception of voice, images or other data (including wired/wireless networks), excluding items of 8443, 8525, 8527, or 8528",7466799935.12,0.029135053420752864,0.17462088828199615
1005,Maize (corn),7384416502.15,0.028813597677807824,0.20343448595980398
3002,"Human blood; animal blood for therapeutic, prophylactic or diagnostic uses; antisera, other blood fractions, immunological products, modified or obtained by biotechnological processes; vaccines, toxins, cultures of micro-organisms (excluding yeasts) etc",5422070773.67,0.02115662974964113,0.22459111570944512
8802,"Aircraft n.e.c. in heading no. 8801, except unmanned aircraft of heading 8806, (e.g. helicopters, aeroplanes); spacecraft (including satellites) and suborbital and spacecraft launch vehicles",5362911270.3,0.02092579253610831,0.24551690824555344
8471,"Automatic data processing machines and units thereof, magnetic or optical readers, machines for transcribing data onto data media in coded form and machines for processing such data, not elsewhere specified or included",5332490654.05,0.020807092920846457,0.2663240011663999
2304,"Oil-cake and other solid residues; whether or not ground or in the form of pellets, resulting from the extraction of soya-bean oil",3412526344.31,0.013315495018630155,0.2796394961850301
8704,Vehicles; for the transport of goods,3204773490.89,0.012504854511947253,0.29214435069697736
3901,"Polymers of ethylene, in primary forms",2893538277.35,0.011290431378650647,0.303434782075628
1001,Wheat and meslin,2732008387.31,0.010660150399348086,0.3140949324749761
8517,"Telephone sets, including telephones for cellular networks or for other wireless networks; other apparatus for the transmission or reception of voice, images or other data (including wired/wireless networks), excluding items of 8443, 8525, 8527, or 8528",2680410944.6000004,0.01045881994148228,0.3245537524164584
4011,"New pneumatic tyres, of rubber",2626196159.68,0.010247276754499402,0.3348010291709578
8708,"Motor vehicles; parts and accessories, of heading no. 8701 to 8705",2268887880.77,0.008853078987828852,0.3436541081587866
9018,"Instruments and appliances used in medical, surgical, dental or veterinary sciences, including scintigraphic apparatus, other electro-medical apparatus and sight testing instruments",2265435565.36,0.008839608238007024,0.3524937163967936
8528,"Monitors and projectors, not incorporating television reception apparatus; reception apparatus for television, whether or not incorporating radio-broadcast receivers or sound or video recording or reproducing apparatus",2224904704.23,0.008681458988733924,0.3611751753855275
3808,"Insecticides, rodenticides, fungicides, herbicides, anti-sprouting products, plant growth regulators, disinfectants and the like, put up in forms or packings for retail sale or as preparations or articles",1954203063.49,0.00762519568550152,0.36880037107102903
7225,"Alloy steel flat-rolled products, of a width 600mm or more",1820666000.6599998,0.007104141218660503,0.3759045122896895
7208,"Iron or non-alloy steel; flat-rolled products of a width of 600mm or more, hot-rolled, not clad, plated or coated",1765758584.21,0.006889895420545309,0.3827944077102348
2711,Petroleum gases and other gaseous hydrocarbons,1722500799.62,0.006721105861986871,0.3895155135722217
2709,Petroleum oils and oils obtained from bituminous minerals; crude,1705200896.73,0.006653602567502808,0.3961691161397245
3102,"Fertilizers; mineral or chemical, nitrogenous",1672520803.66,0.00652608659470819,0.4026952027344327
2903,Halogenated derivatives of hydrocarbons,1577422101.99,0.006155016554332833,0.4088502192887655
3907,"Polyacetals, other polyethers and epoxide resins, in primary forms; polycarbonates, alkyd resins, polyallyl esters and other polyesters, in primary forms",1569087675.26,0.006122496067629046,0.4149727153563946
3105,"Fertilizers; mineral or chemical, containing 2 or 3 of the elements nitrogen, phosphorus, potassium; other fertilisers; goods of chapter 31 in tablets or packages of gross weight not exceeding 10kg",1529863973.96,0.005969447286000376,0.4209421626423949
8544,"Insulated wire, cable and other electric conductors, connector fitted or not; optical fibre cables of individually sheathed fibres, whether or not assembled with electric conductors or fitted with connectors",1512524877.64,0.005901791060851676,0.4268439537032466
2901,Acyclic hydrocarbons,1495362508.28,0.005834824414835298,0.4326787781180819
1507,"Soya-bean oil and its fractions; whether or not refined, but not chemically modified",1452211254.93,0.005666450535469467,0.4383452286535514
8429,"Bulldozers, graders, levellers, scrapers, angledozers, mechanical shovels, excavators, shovel loaders, tamping machines and road rollers, self-propelled",1451854573.69,0.005665058784375039,0.4440102874379265
0203,"Meat of swine; fresh, chilled or frozen",1413574997.57,0.005515693928630842,0.4495259813665573
8701,Tractors; (other than tractors of heading no 8709),1360943160.78,0.005310327320467615,0.4548363086870249
3920,"Plastics; plates, sheets, film, foil and strip (not self-adhesive); non-cellular and not reinforced, laminated, supported or similarly combined with other materials, n.e.c. in chapter 39",1353985431.1,0.005283178631916245,0.46011948731894114
2106,Food preparations not elsewhere specified or included,1278405050.78,0.004988268036036107,0.4651077553549772
9021,"Orthopaedic appliances; including crutches, surgical belts and trusses; splints and other fracture appliances; artificial parts of the body; hearing aids and other which are worn, carried or implanted in the body to compensate for a defect or disability",1257982166.53,0.004908579035553997,0.4700163343905312
7304,"Tubes, pipes and hollow profiles, seamless, of iron (other than cast iron) or steel",1243904215.58,0.0048536476249702205,0.4748699820155014
8502,Electric generating sets and rotary converters,1224471234.01,0.004777821171725715,0.4796478031872271
7408,Copper wire,1216845086.83,0.0047480643538901695,0.4843958675411173
3104,"Fertilizers; mineral or chemical, potassic",1208961170.0,0.0047173017326866155,0.48911316927380394
8421,"Centrifuges, including centrifugal dryers; filtering or purifying machinery and apparatus for liquids or gases",1197163838.52,0.004671269177123493,0.49378443845092745
8802,"Aircraft n.e.c. in heading no. 8801 (e.g. helicopters, aeroplanes); spacecraft (including satellites) and suborbital and spacecraft launch vehicles",1159880812.68,0.004525792807196053,0.4983102312581235
8481,"Taps, cocks, valves and similar appliances for pipes, boiler shells, tanks, vats or the like, including pressure-reducing valves and thermostatically controlled valves",1132261376.16,0.004418023245207867,0.5027282545033314
8413,"Pumps; for liquids, whether or not fitted with measuring device, liquid elevators",1124217781.3600001,0.004386637569117817,0.5071148920724492
