partnerCode,partnerISO,partnerDesc,fobvalue,part_fobvalue,part_acum
842,USA,USA,56105347763.94,0.21892006194030145,0.21892006194030145
591,PAN,Panama,17188423380.309998,0.06706830740815893,0.2859883693484604
156,CHN,China,10661219864.24,0.04159950888921628,0.32758787823767666
699,IND,India,9608695752.800001,0.037492616180172245,0.3650804944178489
76,BRA,Brazil,8194497744.71,0.03197449129786116,0.3970549857157101
218,ECU,Ecuador,7576171628.45,0.029561815910115922,0.426616801625826
528,NLD,Netherlands,7265304383.940001,0.028348828572265748,0.4549656301980917
484,MEX,Mexico,6790177670.05,0.02649490958272616,0.4814605397808179
792,TUR,Türkiye,5184802567.03,0.02023082191555303,0.5016913616963709
152,CHL,Chile,4738697111.9,0.018490142323299704,0.5201815040196706
604,PER,Peru,4494299207.87,0.017536514791866502,0.537718018811537
724,ESP,Spain,4069477873.98,0.015878884700701923,0.553596903512239
380,ITA,Italy,3486259842.1,0.013603199177798321,0.5672001026900373
410,KOR,Rep. of Korea,3200320812.08,0.012487480397718662,0.5796875830877559
124,CAN,Canada,3167910619.25,0.012361017561204512,0.5920486006489605
276,DEU,Germany,2779650583.98,0.010846047699011058,0.6028946483479716
862,VEN,Venezuela,2640496643.93,0.010303076478100765,0.6131977248260724
214,DOM,Dominican Rep.,2560438753.44,0.009990694877355301,0.6231884197034276
56,BEL,Belgium,2387175500.96,0.009314630946257478,0.6325030506496852
392,JPN,Japan,2259105278.29,0.008814907796913688,0.6413179584465989
376,ISR,Israel,2166673867.71,0.008454245383509872,0.6497722038301088
826,GBR,United Kingdom,2025741009.79,0.007904332920350702,0.6576765367504596
616,POL,Poland,1811518731.52,0.007068449064409203,0.6647449858148687
320,GTM,Guatemala,1743008225.79,0.006801124740512708,0.6715461105553815
344,HKG,"China, Hong Kong SAR",1436072061.69,0.00560347626787143,0.6771495868232529
32,ARG,Argentina,1372882659.51,0.005356914605025678,0.6825065014282785
188,CRI,Costa Rica,1278126995.12,0.004987183077743608,0.6874936845060221
784,ARE,United Arab Emirates,1219341336.1,0.004757804584841168,0.6922514890908633
384,CIV,Côte d'Ivoire,1016543977.75,0.003966500154502249,0.6962179892453656
251,FRA,France,937731846.92,0.0036589794412265004,0.6998769686865921
44,BHS,Bahamas,937085227.28,0.003656456366024539,0.7035334250526166
535,BES,Bonaire,936402758.1,0.00365379340783762,0.7071872184604543
818,EGY,Egypt,854661560.73,0.0033348436338052744,0.7105220620942596
222,SLV,El Salvador,720889692.92,0.002812872970508588,0.7133349350647682
36,AUS,Australia,664646580.25,0.002593415357283608,0.7159283504220518
388,JAM,Jamaica,657748895.93,0.0025665009625108945,0.7184948513845627
458,MYS,Malaysia,641264179.54,0.0025021784820879753,0.7209970298666507
757,CHE,Switzerland,611607995.1700001,0.002386461639078473,0.7233834915057292
340,HND,Honduras,520440851.16,0.0020307323261159536,0.7254142238318452
68,BOL,Bolivia (Plurinational State of),492406187.42,0.0019213425697551364,0.7273355664016004
702,SGP,Singapore,435296088.5,0.0016985020226189368,0.7290340684242193
643,RUS,Russian Federation,400728515.25,0.0015636212032564783,0.7305976896274757
372,IRL,Ireland,380185608.63,0.0014834638819150945,0.7320811535093908
682,SAU,Saudi Arabia,379799668.1,0.0014819579626382307,0.7335631114720291
246,FIN,Finland,358083375.83,0.0013972221533377549,0.7349603336253668
504,MAR,Morocco,353655367.71,0.0013799443028201684,0.736340277928187
579,NOR,Norway,330717608.26,0.001290442394005815,0.7376307203221928
96,BRN,Brunei Darussalam,317190136.22,0.0012376589226448934,0.7388683792448377
360,IDN,Indonesia,287614433.05,0.0011222561129671713,0.7399906353578048
710,ZAF,South Africa,260257315.07999998,0.001015510103911154,0.741006145461716
662,LCA,Saint Lucia,254321678.25,0.0009923495669166057,0.7419984950286326
752,SWE,Sweden,242635247.09,0.0009467497384622387,0.7429452447670948
192,CUB,Cuba,237556299.97,0.0009269319588313182,0.7438721767259261
332,HTI,Haiti,225084300.39,0.0008782668844776061,0.7447504436104037
533,ABW,Aruba,223124916.26,0.0008706214725480835,0.7456210650829518
780,TTO,Trinidad and Tobago,200924982.92000002,0.0007839985216965609,0.7464050636046483
705,SVN,Slovenia,191625205.79,0.0007477112894366956,0.747152774894085
368,IRQ,Iraq,191313204.25,0.0007464938761385971,0.7478992687702236
558,NIC,Nicaragua,189945578.88,0.0007411574751956559,0.7486404262454193
531,CUW,Curaçao,155763817.13,0.0006077820716419123,0.7492482083170612
208,DNK,Denmark,153150004.37,0.0005975831142497023,0.7498457914313109
