"Country A","Country B","Type","Date of signature","Effective","Status","Source","WHTrates","PE","Other","UN","5(3)(a)C","5(3)(a)S","5(3)(b)","5(4)(a)","5(4)(b)","5(5)(b)","5(6)","5(7)","7(1)(b&c)","7(3)","8(2)","10(2)(a)Q","10(2)(a)T","10(2)(b)","11(2)","11(2)F","12(2)","12(2)C","12(2)E","12(A)","13(4)","13(5)","14","16(2)","21(3)","25B(5)","27","29"
"Albania","Israel","Original","2021","2022","In Force","0.3","0.31","0.45","0.13","0.26","9","YES","12","YES","YES","NO","NO","YES","NO","NO","NO","5","25","15","10","10","5","5","5","0","YES","NO","NO","NO","NO","NO","NO","PPT"
"Albania","Turkey","Original","1994","1997","In Force","0.19","0.38","0.06","0.13","0.06","12","NO","NO","YES","YES","NO","NO","NO","NO","NO","NO","5","25","15","10","10","10","10","10","0","NO","NO","YES","NO","NO","NO","NO","NA"
"Albania","Romania","Original","1994","1995","In Force","0.47","0.47","0.58","0.38","0.44","9","YES","9","YES","YES","YES","NO","YES","YES","NO","NO","10","25","15","10","10","15","15","15","0","NO","NO","YES","NO","YES","NO","NO","NA"
"Albania","Italy","Original","1994","2000","In Force","0.19","0.25","0.19","0.13","0.12","12","NO","NO","YES","YES","YES","NO","NO","NO","NO","NO","10","","10","5","5","5","5","5","0","NO","NO","YES","NO","NO","NO","NO","NA"
"Albania","Russia","Original","1995","1998","In Force","0.23","0.38","0.06","0.25","0.12","12","NO","NO","YES","YES","NO","NO","NO","NO","NO","NO","10","","10","10","10","10","10","10","0","NO","NO","YES","NO","YES","NO","NO","NA"
"Albania","Czechia","Original","1995","1997","In Force","0.33","0.54","0.47","0","0.31","6","YES","6","YES","YES","NO","NO","YES","NO","NO","NO","10","25","15","12","12","10","5","10","10","NO","NO","NO","NO","","NO","NO","NA"
"Albania","North Macedonia","Original","1998","1999","In Force","0.44","0.38","0.7","0.25","0.44","9","YES","9","NO","NO","YES","NO","NO","NO","NO","NO","10","","10","10","10","10","10","10","0","YES","NO","YES","NO","NO","NO","NO","NA"
"Albania","Sweden","Original","1998","2000","In Force","0.4","0.25","0.7","0.25","0.44","9","YES","9","NO","NO","NO","NO","YES","NO","NO","NO","5","25","15","5","5","5","5","5","0","NO","NO","YES","NO","YES","NO","NO","OTHER"
"Albania","Norway","Original","1998","2000","In Force","0.53","0.38","0.72","0.5","0.59","6","YES","6","NO","NO","YES","NO","NO","YES","NO","NO","5","25","15","10","10","10","10","10","0","YES","NO","YES","NO","YES","NO","NO","NA"
"Albania","Moldova","Original","2002","2004","In Force","0.58","0.28","0.95","0.5","0.68","9","YES","3","NO","NO","YES","YES","YES","YES","YES","NO","5","25","10","5","5","10","10","10","0","YES","NO","YES","NO","NO","NO","NO","NA"
"Albania","Montenegro","Pre-independence","2004","2006","In Force","0.57","0.5","0.83","0.38","0.62","9","YES","9","NO","NO","YES","NO","YES","NO","YES","NO","5","25","15","10","10","10","10","10","10","YES","NO","YES","NO","NO","NO","NO","NA"
"Albania","South Korea","Original","2006","2008","In Force","0.43","0.34","0.7","0.25","0.44","9","YES","6","NO","NO","YES","NO","NO","NO","NO","NO","5","25","10","10","10","10","10","10","0","YES","NO","YES","NO","NO","NO","NO","NA"
"Albania","Kuwait","Original","2010","2014","In Force","0.31","0.34","0.47","0.13","0.29","6","YES","6","YES","YES","NO","NO","YES","NO","NO","NO","5","10","10","10","10","10","10","10","0","NO","NO","YES","NO","NO","NO","NO","NA"
"Albania","Estonia","Original","2010","2018","In Force","0.31","0.22","0.45","0.25","0.32","9","YES","6","YES","YES","NO","NO","YES","NO","NO","NO","5","10","10","5","5","5","5","5","0","YES","NO","YES","NO","NO","NO","YES","NA"
"Albania","Germany","Original","2010","2012","In Force","0.23","0.25","0.2","0.25","0.21","9","YES","NO","YES","YES","NO","NO","NO","NO","NO","NO","5","25","15","5","5","5","5","5","0","YES","NO","YES","NO","NO","NO","YES","NA"
"Albania","Spain","Original","2010","2011","In Force","0.1","0.1","0.06","0.13","0.06","12","NO","NO","YES","YES","NO","NO","NO","NO","NO","NO","0","","10","6","0","0","0","0","0","YES","NO","NO","NO","NO","NO","NO","PARTIAL"
"Albania","Saudi Arabia","Original","2019","2020","In Force","0.36","0.23","0.47","0.38","0.41","6","YES","6","YES","YES","YES","NO","NO","NO","YES","NO","5","","5","6","6","8","8","5","0","NO","YES","YES","NO","NO","NO","NO","NA"
"Albania","Kosovo","Amended by protocol","2020","2022","In Force","0.21","0.29","0.22","0.13","0.18","6","NO","3","YES","YES","NO","NO","NO","NO","NO","NO","5","25","8","10","10","10","10","0","0","YES","NO","NO","NO","NO","YES","YES","PPT"
"Albania","Switzerland","Amended by protocol","2015","2016","In Force","0.15","0.25","0.08","0.13","0.09","9","NO","NO","YES","YES","NO","NO","NO","NO","NO","NO","5","25","15","5","5","5","5","5","0","NO","NO","YES","NO","NO","YES","NO","PARTIAL"
"Albania","Belgium","Amended by MLI","2019","2021","In Force","0.41","0.25","0.7","0.29","0.47","9","YES","9","NO","NO","NO","NO","YES","NO","NO","NO","5","25","15","5","5","5","5","5","0","YES","NO","YES","NO","","NO","YES","PPT"
"Albania","Bosnia and Herzegovina","Amended by MLI","2019","2021","In Force","0.43","0.34","0.69","0.25","0.41","12","YES","6","NO","NO","NO","NO","YES","NO","NO","NO","5","25","10","10","10","10","10","10","0","YES","NO","YES","NO","NO","NO","NO","PPT"
"Albania","Bulgaria","Amended by MLI","2019","2023","In Force","0.4","0.38","0.58","0.25","0.38","9","NO","NO","NO","NO","YES","NO","YES","NO","NO","NO","5","25","15","10","10","10","10","10","0","YES","NO","YES","NO","NO","NO","NO","PPT"
"Albania","China","Amended by MLI","2019","2023","In Force","0.36","0.38","0.45","0.25","0.32","9","YES","9","YES","YES","NO","NO","YES","NO","NO","NO","10","","10","10","10","10","10","10","0","YES","NO","YES","NO","NO","NO","NO","PPT"
"Albania","Croatia","Amended by MLI","2019","2022","In Force","0.44","0.38","0.69","0.25","0.41","12","YES","12","NO","NO","NO","NO","YES","NO","NO","NO","10","","10","10","10","10","10","10","0","YES","NO","YES","NO","NO","NO","NO","PPT"
"Albania","Egypt","Amended by MLI","2019","2021","In Force","0.53","0.38","0.84","0.38","0.59","6","YES","6","NO","NO","NO","YES","YES","NO","NO","NO","10","","10","10","10","10","10","10","0","YES","YES","YES","NO","NO","NO","NO","PPT"
"Albania","France","Amended by MLI","2019","2021","In Force","0.26","0.31","0.19","0.29","0.19","12","NO","NO","YES","YES","NO","NO","YES","NO","NO","NO","5","25","15","10","10","5","5","5","0","YES","NO","YES","NO","","NO","YES","PPT"
"Albania","Greece","Amended by MLI","2019","2022","In Force","0.34","0.19","0.58","0.25","0.38","9","NO","NO","NO","NO","YES","NO","YES","YES","NO","NO","5","","5","5","5","5","5","5","0","NO","NO","YES","NO","NO","NO","NO","PPT"
"Albania","Iceland","Amended by MLI","2019","2021","In Force","0.35","0.34","0.47","0.25","0.35","6","YES","6","YES","YES","NO","NO","YES","NO","NO","NO","5","25","10","10","10","10","10","10","0","YES","NO","YES","NO","NO","NO","NO","PPT"
"Albania","India","Amended by MLI","2019","2021","In Force","0.61","0.5","0.97","0.38","0.71","6","YES","6","NO","NO","YES","YES","YES","NO","YES","NO","10","","10","10","10","10","10","10","10","NO","YES","YES","NO","NO","NO","YES","PPT"
"Albania","Ireland","Amended by MLI","2019","2021","In Force","0.28","0.22","0.34","0.29","0.31","6","YES","6","YES","YES","NO","NO","NO","NO","NO","NO","5","25","10","7","0","7","7","7","0","YES","NO","YES","NO","","NO","NO","PPT"
"Albania","Latvia","Amended by MLI","2019","2021","In Force","0.28","0.25","0.33","0.25","0.26","9","YES","6","YES","YES","NO","NO","NO","NO","NO","NO","5","25","10","10","5","5","5","5","0","YES","NO","YES","NO","NO","NO","NO","PPT"
"Albania","Malaysia","Amended by MLI","2019","2022","In Force","0.48","0.5","0.7","0.25","0.5","9","YES","NO","NO","NO","YES","NO","YES","NO","NO","NO","5","25","15","10","10","10","10","10","10","NO","NO","YES","NO","YES","NO","NO","PPT"
